bus_name,source,destination,departure_time,arrival_time,doopada katte,lamina,nitte,manjarapalke,belman,santhoor,kujara katte,adve,,,,haleangady
,,,,,,,,,,,,,,,,
AKMS,Udupi,Manglore,,,,,,,,,,,,,,14:52
mookambika,Udupi,Manglore,,,,,,,,,,,,,,14:54
Durgamba,Udupi,Manglore,,,,,,,,,,,,,,14:56
geeta,Udupi,Manglore,,,,,,,,,,,,,,15:10
Anand,Udupi,Manglore,,,,,,,,,,,,,,15:13
Vishal,Udupi,Manglore,,,,,,,,,,,,,,15:16
Durgamba,Udupi,Manglore,,,,,,,,,,,,,,17:22
AKMS,Udupi,Manglore,,,,,,,,,,,,,,17:35
Master,Udupi,Manglore,,,,,,,,,,,,,,17:37
Anand,Udupi,Manglore,,,,,,,,,,,,,,17:44
Master,Udupi,Manglore,,,,,,,,,,,,,,10:12
Master,Udupi,Manglore,,,,,,,,,,,,,,19:00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Reshma,Manglore,Udupi,,,,,,,,,,,,,,14:58
anand,Manglore,Udupi,,,,,,,,,,,,,,15:10
chakra,Manglore,Udupi,,,,,,,,,,,,,,15:12
Annaporneswari ,Manglore,Udupi,,,,,,,,,,,,,,15:16
Master,Manglore,Udupi,,,,,,,,,,,,,,17:27
Mahesh,Manglore,Udupi,,,,,,,,,,,,,,17:36
Mahesh,Manglore,Udupi,,,,,,,,,,,,,,17:38
Navadurga Prasad,Manglore,Udupi,,,,,,,,,,,,,,15:40
Akash,Manglore,Manipal,,,,,,,,,,,,,,19:10
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Arya,Mangalore,Udupi,,,,,,,,,,,,,,10:48
Kohinoor,Mangalore,Udupi,,,,,,,,,,,,,,10:57
Ganesh,Mangalore,Udupi,,,,,,,,,,,,,,10:59
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Madurya,Udupi,Mangalore,,,,,,,,,,,,,,10:50
APM,Udupi,Mangalore,,,,,,,,,,,,,,10:52
Navadurga,Udupi,Mangalore,,,,,,,,,,,,,,10:59
Navami,,,,,,,,,,,,,,,,13:20
Anand,,,,,,,,,,,,,,,,13:58
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pragathi,kateel,Mangalore,,,,,,,,,,,,,,11:25
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nandini,Mangalore,Kateel,,,,,,,,,,,,,,18:50
